team1,team2,toss_winner,toss_decision,venue,winner
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,MA Chidambaram Stadium,Chennai Super Kings
Rajasthan Royals,Punjab Kings,Punjab Kings,bat,Sawai Mansingh Stadium,Rajasthan Royals
Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders
Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,field,M Chinnaswamy Stadium,Sunrisers Hyderabad
Punjab Kings,Mumbai Indians,Mumbai Indians,bat,Punjab Cricket Association Stadium,Punjab Kings
Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,bat,Vidarbha Cricket Association Stadium,Sunrisers Hyderabad
Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Royal Challengers Bengaluru
Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Feroz Shah Kotla,Punjab Kings
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Sawai Mansingh Stadium,Mumbai Indians
Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Vidarbha Cricket Association Stadium,Sunrisers Hyderabad
Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Brabourne Stadium,Mumbai Indians
Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,MA Chidambaram Stadium,Chennai Super Kings
Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,bat,Sawai Mansingh Stadium,Royal Challengers Bengaluru
Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,MA Chidambaram Stadium,Delhi Capitals
Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Himachal Pradesh Cricket Association Stadium,Sunrisers Hyderabad
Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Mumbai Indians
Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Eden Gardens,Kolkata Knight Riders
Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Himachal Pradesh Cricket Association Stadium,Chennai Super Kings
Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Feroz Shah Kotla,Sunrisers Hyderabad
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Eden Gardens,Kolkata Knight Riders
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,bat,Dr DY Patil Sports Academy,Mumbai Indians
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Dr DY Patil Sports Academy,Chennai Super Kings
Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Dr DY Patil Sports Academy,Royal Challengers Bengaluru
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Dr DY Patil Sports Academy,Chennai Super Kings
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,MA Chidambaram Stadium,Chennai Super Kings
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajiv Gandhi International Stadium,Rajasthan Royals
Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,Feroz Shah Kotla,Mumbai Indians
Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Eden Gardens,Kolkata Knight Riders
Rajasthan Royals,Delhi Capitals,Delhi Capitals,bat,Sawai Mansingh Stadium,Rajasthan Royals
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,M Chinnaswamy Stadium,Mumbai Indians
Punjab Kings,Chennai Super Kings,Punjab Kings,field,Punjab Cricket Association Stadium,Punjab Kings
