team1,team2,toss_winner,toss_decision,venue,winner
Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajiv Gandhi International Stadium,Sunrisers Hyderabad
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Kolkata Knight Riders
Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,M Chinnaswamy Stadium,Royal Challengers Bengaluru
Chennai Super Kings,Punjab Kings,Punjab Kings,field,Himachal Pradesh Cricket Association Stadium,Chennai Super Kings
Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,field,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Kolkata Knight Riders
Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Mumbai Indians
Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Arun Jaitley Stadium,Delhi Capitals
Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,bat,Rajiv Gandhi International Stadium,Sunrisers Hyderabad
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,Himachal Pradesh Cricket Association Stadium,Royal Challengers Bengaluru
Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,Narendra Modi Stadium,Gujarat Titans
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Eden Gardens,Kolkata Knight Riders
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,MA Chidambaram Stadium,Chennai Super Kings
Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,M Chinnaswamy Stadium,Royal Challengers Bengaluru
Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,Arun Jaitley Stadium,Delhi Capitals
Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,Barsapara Cricket Stadium,Punjab Kings
Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Wankhede Stadium,Lucknow Super Giants
Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,M Chinnaswamy Stadium,Royal Challengers Bengaluru
Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,Rajiv Gandhi International Stadium,Sunrisers Hyderabad
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Narendra Modi Stadium,Kolkata Knight Riders
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Narendra Modi Stadium,Rajasthan Royals
Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,MA Chidambaram Stadium,Sunrisers Hyderabad
Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,MA Chidambaram Stadium,Kolkata Knight Riders
Mumbai Indians,Lucknow Super Giants,MI ,field,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants
Gujarat Titans,Sunrisers Hyderabad,SRH ,field,Narendra Modi Stadium,Gujarat Titans
Chennai Super Kings,Kolkata Knight Riders,CSK ,bat,MA Chidambaram Stadium,Kolkata Knight Riders
Rajasthan Royals,Royal Challengers Bengaluru,RCB ,bat,Sawai Mansingh Stadium,Royal Challengers Bengaluru
Delhi Capitals,Punjab Kings,DC ,field,Arun Jaitley Stadium,Punjab Kings
Sunrisers Hyderabad,Lucknow Super Giants,SRH ,bat,Rajiv Gandhi International Stadium,Lucknow Super Giants
Mumbai Indians,Gujarat Titans,GT ,field,Wankhede Stadium,Mumbai Indians
Kolkata Knight Riders,Rajasthan Royals,RR ,field,Eden Gardens,Rajasthan Royals
Chennai Super Kings,Delhi Capitals,CSK ,bat,MA Chidambaram Stadium,Chennai Super Kings
Mumbai Indians,Royal Challengers Bengaluru,MI ,field,Wankhede Stadium,Mumbai Indians
Kolkata Knight Riders,Punjab Kings,PBKS ,bat,Eden Gardens,Kolkata Knight Riders
Rajasthan Royals,Sunrisers Hyderabad,RR ,bat,Sawai Mansingh Stadium,Sunrisers Hyderabad
Gujarat Titans,Lucknow Super Giants,LSG ,field,Narendra Modi Stadium,Gujarat Titans
Delhi Capitals,Royal Challengers Bengaluru,RCB ,bat,Arun Jaitley Stadium,Delhi Capitals
Chennai Super Kings,Mumbai Indians,CSK ,field,MA Chidambaram Stadium,Chennai Super Kings
Rajasthan Royals,Gujarat Titans,RR ,bat,Sawai Mansingh Stadium,Gujarat Titans
Sunrisers Hyderabad,Kolkata Knight Riders,KKR ,bat,Rajiv Gandhi International Stadium,Kolkata Knight Riders
Lucknow Super Giants,Chennai Super Kings,CSK ,field,Punjab Cricket Association IS Bindra Stadium,Mumbai Indians
Punjab Kings,Mumbai Indians,MI ,field,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Match Abandoned Due To Rain
Gujarat Titans,Delhi Capitals,DC ,bat,Narendra Modi Stadium,Delhi Capitals
Lucknow Super Giants,Royal Challengers Bengaluru,RCB ,bat,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Royal Challengers Bengaluru
Mumbai Indians,Rajasthan Royals,RR ,bat,Wankhede Stadium,Mumbai Indians
Chennai Super Kings,Punjab Kings,CSK ,bat,MA Chidambaram Stadium,Punjab Kings
Kolkata Knight Riders,Gujarat Titans,GT ,field,Eden Gardens,Gujarat Titans
Punjab Kings,Lucknow Super Giants,PBKS ,field,Punjab Cricket Association IS Bindra Stadium,Lucknow Super Giants
Rajasthan Royals,Chennai Super Kings,RR ,bat,Sawai Mansingh Stadium,Rajasthan Royals
Royal Challengers Bengaluru,Kolkata Knight Riders,RCB ,field,M.Chinnaswamy Stadium,Kolkata Knight Riders
Gujarat Titans,Mumbai Indians,MI ,field,Narendra Modi Stadium,Gujarat Titans
Sunrisers Hyderabad,Delhi Capitals,DC ,bat,Rajiv Gandhi International Stadium,Delhi Capitals
Kolkata Knight Riders,Chennai Super Kings,KKR ,field,Eden Gardens,Chennai Super Kings
Royal Challengers Bengaluru,Rajasthan Royals,RR ,field,M.Chinnaswamy Stadium,Royal Challengers Bengaluru
Mumbai Indians,Punjab Kings,MI ,field,Wankhede Stadium,Punjab Kings
Lucknow Super Giants,Gujarat Titans,GT ,bat,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Gujarat Titans
Delhi Capitals,Kolkata Knight Riders,DC ,field,Arun Jaitley Stadium,Delhi Capitals
Punjab Kings,Royal Challengers Bengaluru,PBKS ,field,Punjab Cricket Association IS Bindra Stadium,Royal Challengers Bengaluru
Rajasthan Royals,Lucknow Super Giants,RR ,field,Sawai Mansingh Stadium,Lucknow Super Giants
Sunrisers Hyderabad,Mumbai Indians,SRH ,field,Rajiv Gandhi International Stadium,Mumbai Indians
Royal Challengers Bengaluru,Chennai Super Kings,RCB ,field,M.Chinnaswamy Stadium,Chennai Super Kings
Gujarat Titans,Rajasthan Royals,RR ,field,Narendra Modi Stadium,Rajasthan Royals
Mumbai Indians,Kolkata Knight Riders,MI ,field,Wankhede Stadium,Mumbai Indians
Lucknow Super Giants,Punjab Kings,PBKS ,field,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Punjab Kings
Royal Challengers Bengaluru,Delhi Capitals,DC ,field,M.Chinnaswamy Stadium,Royal Challengers Bengaluru
Kolkata Knight Riders,Sunrisers Hyderabad,KKR ,field,Eden Gardens,Sunrisers Hyderabad
Punjab Kings,Gujarat Titans,GT ,field,Punjab Cricket Association IS Bindra Stadium,Gujarat Titans
Chennai Super Kings,Rajasthan Royals,CSK ,field,MA Chidambaram Stadium,Rajasthan Royals
Delhi Capitals,Mumbai Indians,MI ,field,Arun Jaitley Stadium,Mumbai Indians
Royal Challengers Bengaluru,Lucknow Super Giants,LSG ,field,M.Chinnaswamy Stadium,Lucknow Super Giants
Sunrisers Hyderabad,Punjab Kings,SRH ,field,Rajiv Gandhi International Stadium,Sunrisers Hyderabad
Gujarat Titans,Kolkata Knight Riders,GT ,bat,Narendra Modi Stadium,Kolkata Knight Riders
Mumbai Indians,Chennai Super Kings,CSK ,field,Wankhede Stadium,Chennai Super Kings
Rajasthan Royals,Delhi Capitals,DC ,field,Barsapara Cricket Stadium,Rajasthan Royals
Lucknow Super Giants,Sunrisers Hyderabad,SRH ,bat,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants
Kolkata Knight Riders,Royal Challengers Bengaluru,RCB ,field,Eden Gardens,Kolkata Knight Riders
Rajasthan Royals,Punjab Kings,RR ,field,Barsapara Cricket Stadium,Punjab Kings
Delhi Capitals,Gujarat Titans,GT ,field,Arun Jaitley Stadium,Gujarat Titans
Chennai Super Kings,Lucknow Super Giants,LSG ,field,MA Chidambaram Stadium,Chennai Super Kings
Royal Challengers Bengaluru,Mumbai Indians,RCB ,field,M.Chinnaswamy Stadium,Royal Challengers Bengaluru
Sunrisers Hyderabad,Rajasthan Royals,SRH ,field,Rajiv Gandhi International Stadium,Rajasthan Royals
Lucknow Super Giants,Delhi Capitals,DC ,field,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow Super Giants
Punjab Kings,Kolkata Knight Riders,KKR ,field,Punjab Cricket Association IS Bindra Stadium,Punjab Kings
Gujarat Titans,Chennai Super Kings,GT ,field,Narendra Modi Stadium,Gujarat Titans
Kolkata Knight Riders,Sunrisers Hyderabad,,,MA Chidambaram Stadium,KOLKATA KNIGHT RIDERS
Sunrisers Hyderabad,Rajasthan Royals,,,MA Chidambaram Stadium,SUNRISERS HYDERABAD
Rajasthan Royals,Royal Challengers Bengaluru,,,Narendra Modi Stadium,RAJASTHAN ROYALS
Kolkata Knight Riders,Sunrisers Hyderabad,,,Narendra Modi Stadium,KOLKATA KNIGHT RIDERS
Rajasthan Royals,Kolkata Knight Riders,,,Barsapara Cricket Stadium,
Sunrisers Hyderabad,Punjab Kings,,,Rajiv Gandhi International Stadium,SUNRISERS HYDERABAD
Royal Challengers Bengaluru,Chennai Super Kings,,,M Chinnaswamy Stadium,ROYAL CHALLENGERS BENGALURU
Mumbai Indians,Lucknow Super Giants,,,Wankhede Stadium,LUCKNOW SUPER GIANTS
Sunrisers Hyderabad,Gujarat Titans,,,Rajiv Gandhi International Stadium,
Rajasthan Royals,Punjab Kings,,,Barsapara Cricket Stadium,PUNJAB KINGS
Delhi Capitals,Lucknow Super Giants,,,Arun Jaitley Stadium,DELHI CAPITALS
Gujarat Titans,Kolkata Knight Riders,,,Narendra Modi Stadium,
Royal Challengers Bengaluru,Delhi Capitals,,,M Chinnaswamy Stadium,ROYAL CHALLENGERS BENGALURU
Chennai Super Kings,Rajasthan Royals,,,MA Chidambaram Stadium,CHENNAI SUPER KINGS
Kolkata Knight Riders,Mumbai Indians,,,Eden Gardens,KOLKATA KNIGHT RIDERS
Gujarat Titans,Chennai Super Kings,,,Narendra Modi Stadium,GUJARAT TITANS
Punjab Kings,Royal Challengers Bengaluru,,,Himachal Pradesh Cricket Association Stadium,ROYAL CHALLENGERS BENGALURU
Sunrisers Hyderabad,Lucknow Super Giants,,,Rajiv Gandhi International Stadium,SUNRISERS HYDERABAD
Delhi Capitals,Rajasthan Royals,,,Arun Jaitley Stadium,DELHI CAPITALS
Mumbai Indians,Sunrisers Hyderabad,,,Wankhede Stadium,MUMBAI INDIANS
Lucknow Super Giants,Kolkata Knight Riders,,,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,KOLKATA KNIGHT RIDERS
Punjab Kings,Chennai Super Kings,,,Himachal Pradesh Cricket Association Stadium,CHENNAI SUPER KINGS
Royal Challengers Bengaluru,Gujarat Titans,,,M Chinnaswamy Stadium,ROYAL CHALLENGERS BENGALURU
Mumbai Indians,Kolkata Knight Riders,,,Wankhede Stadium,KOLKATA KNIGHT RIDERS
Sunrisers Hyderabad,Rajasthan Royals,,,Rajiv Gandhi International Stadium,SUNRISERS HYDERABAD
Chennai Super Kings,Punjab Kings,,,MA Chidambaram Stadium,PUNJAB KINGS
Lucknow Super Giants,Mumbai Indians,,,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,LUCKNOW SUPER GIANTS
Kolkata Knight Riders,Delhi Capitals,,,Eden Gardens,KOLKATA KNIGHT RIDERS
Chennai Super Kings,Sunrisers Hyderabad,,,MA Chidambaram Stadium,CHENNAI SUPER KINGS
Gujarat Titans,Royal Challengers Bengaluru,,,Narendra Modi Stadium,ROYAL CHALLENGERS BENGALURU
Lucknow Super Giants,Rajasthan Royals,,,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,RAJASTHAN ROYALS
Delhi Capitals,Mumbai Indians,,,Arun Jaitley Stadium,DELHI CAPITALS
Kolkata Knight Riders,Punjab Kings,,,Eden Gardens,PUNJAB KINGS
Sunrisers Hyderabad,Royal Challengers Bengaluru,,,Rajiv Gandhi International Stadium,ROYAL CHALLENGERS BENGALURU
Delhi Capitals,Gujarat Titans,,,Arun Jaitley Stadium,DELHI CAPITALS
Chennai Super Kings,Lucknow Super Giants,,,MA Chidambaram Stadium,LUCKNOW SUPER GIANTS
Rajasthan Royals,Mumbai Indians,,,Sawai Mansingh Stadium,RAJASTHAN ROYALS
Punjab Kings,Gujarat Titans,,,PCA New Stadium,GUJARAT TITANS
Kolkata Knight Riders,Royal Challengers Bengaluru,,,Eden Gardens,KOLKATA KNIGHT RIDERS
Delhi Capitals,Sunrisers Hyderabad,,,Arun Jaitley Stadium,SUNRISERS HYDERABAD
Lucknow Super Giants,Chennai Super Kings,,,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,LUCKNOW SUPER GIANTS
Punjab Kings,Mumbai Indians,,,PCA New Stadium,MUMBAI INDIANS
Gujarat Titans,Delhi Capitals,,,Narendra Modi Stadium,DELHI CAPITALS
Kolkata Knight Riders,Rajasthan Royals,,,Eden Gardens,RAJASTHAN ROYALS
Royal Challengers Bengaluru,Sunrisers Hyderabad,,,M Chinnaswamy Stadium,SUNRISERS HYDERABAD
Mumbai Indians,Chennai Super Kings,,,Wankhede Stadium,CHENNAI SUPER KINGS
Kolkata Knight Riders,Lucknow Super Giants,,,Eden Gardens,KOLKATA KNIGHT RIDERS
Punjab Kings,Rajasthan Royals,,,PCA New Stadium,RAJASTHAN ROYALS
Lucknow Super Giants,Delhi Capitals,,,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,DELHI CAPITALS
Mumbai Indians,Royal Challengers Bengaluru,,,Wankhede Stadium,MUMBAI INDIANS
Rajasthan Royals,Gujarat Titans,,,Sawai Mansingh Stadium,GUJARAT TITANS
Punjab Kings,Sunrisers Hyderabad,,,PCA New Stadium,SUNRISERS HYDERABAD
Chennai Super Kings,Kolkata Knight Riders,,,MA Chidambaram Stadium,CHENNAI SUPER KINGS
Lucknow Super Giants,Gujarat Titans,,,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,LUCKNOW SUPER GIANTS
Mumbai Indians,Delhi Capitals,,,Wankhede Stadium,MUMBAI INDIANS
Rajasthan Royals,Royal Challengers Bengaluru,,,Sawai Mansingh Stadium,RAJASTHAN ROYALS
Sunrisers Hyderabad,Chennai Super Kings,,,Rajiv Gandhi International Stadium,SUNRISERS HYDERABAD
Gujarat Titans,Punjab Kings,,,Narendra Modi Stadium,PUNJAB KINGS
Delhi Capitals,Kolkata Knight Riders,,,Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium,KOLKATA KNIGHT RIDERS
Royal Challengers Bengaluru,Lucknow Super Giants,,,M Chinnaswamy Stadium,LUCKNOW SUPER GIANTS
Mumbai Indians,Rajasthan Royals,,,Wankhede Stadium,RAJASTHAN ROYALS
Delhi Capitals,Chennai Super Kings,,,Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium,DELHI CAPITALS
Gujarat Titans,Sunrisers Hyderabad,,,Narendra Modi Stadium,GUJARAT TITANS
Lucknow Super Giants,Punjab Kings,,,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,LUCKNOW SUPER GIANTS
Royal Challengers Bengaluru,Kolkata Knight Riders,,,M Chinnaswamy Stadium,KOLKATA KNIGHT RIDERS
Rajasthan Royals,Delhi Capitals,,,Sawai Mansingh Stadium,RAJASTHAN ROYALS
Sunrisers Hyderabad,Mumbai Indians,,,Rajiv Gandhi International Stadium,SUNRISERS HYDERABAD
Chennai Super Kings,Gujarat Titans,,,MA Chidambaram Stadium,CHENNAI SUPER KINGS
Royal Challengers Bengaluru,Punjab Kings,,,M Chinnaswamy Stadium,ROYAL CHALLENGERS BENGALURU
Gujarat Titans,Mumbai Indians,,,Narendra Modi Stadium,GUJARAT TITANS
Rajasthan Royals,Lucknow Super Giants,,,Sawai Mansingh Stadium,RAJASTHAN ROYALS
Kolkata Knight Riders,Sunrisers Hyderabad,,,Eden Gardens,KOLKATA KNIGHT RIDERS
Punjab Kings,Delhi Capitals,,,PCA New Stadium,PUNJAB KINGS
Chennai Super Kings,Royal Challengers Bengaluru,,,MA Chidambaram Stadium,CHENNAI SUPER KINGS
Royal Challengers Bengaluru,Punjab Kings,,,Narendra Modi Stadium,ROYAL CHALLENGERS BENGALURU
Punjab Kings,Mumbai Indians,,,Narendra Modi Stadium,PUNJAB KINGS
Gujarat Titans,Mumbai Indians,,,New PCA Stadium,MUMBAI INDIANS
Punjab Kings,Royal Challengers Bengaluru,,,New PCA Stadium,ROYAL CHALLENGERS BENGALURU
Lucknow Super Giants,Royal Challengers Bengaluru,,,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,ROYAL CHALLENGERS BENGALURU
Punjab Kings,Mumbai Indians,,,Sawai Mansingh Stadium,PUNJAB KINGS
Sunrisers Hyderabad,Kolkata Knight Riders,,,Arun Jaitley Stadium,SUNRISERS HYDERABAD
Gujarat Titans,Chennai Super Kings,,,Narendra Modi Stadium,CHENNAI SUPER KINGS
Punjab Kings,Delhi Capitals,,,Sawai Mansingh Stadium,DELHI CAPITALS
Royal Challengers Bengaluru,Sunrisers Hyderabad,,,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,SUNRISERS HYDERABAD
Gujarat Titans,Lucknow Super Giants,,,Narendra Modi Stadium,LUCKNOW SUPER GIANTS
Mumbai Indians,Delhi Capitals,,,Wankhede Stadium,MUMBAI INDIANS
Chennai Super Kings,Rajasthan Royals,,,Arun Jaitley Stadium,RAJASTHAN ROYALS
Lucknow Super Giants,Sunrisers Hyderabad,,,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,SUNRISERS HYDERABAD
Delhi Capitals,Gujarat Titans,,,Arun Jaitley Stadium,GUJARAT TITANS
Rajasthan Royals,Punjab Kings,,,Sawai Mansingh Stadium,PUNJAB KINGS
Royal Challengers Bengaluru,Kolkata Knight Riders,,,M Chinnaswamy Stadium,
Kolkata Knight Riders,Chennai Super Kings,,,Eden Gardens,CHENNAI SUPER KINGS
Mumbai Indians,Gujarat Titans,,,Wankhede Stadium,GUJARAT TITANS
Sunrisers Hyderabad,Delhi Capitals,,,Rajiv Gandhi International Stadium,GUJARAT TITANS
Punjab Kings,Lucknow Super Giants,,,Himachal Pradesh Cricket Association Stadium,PUNJAB KINGS
Kolkata Knight Riders,Rajasthan Royals,,,Eden Gardens,KOLKATA KNIGHT RIDERS
Royal Challengers Bengaluru,Chennai Super Kings,,,M Chinnaswamy Stadium,ROYAL CHALLENGERS BENGALURU
Gujarat Titans,Sunrisers Hyderabad,,,Narendra Modi Stadium,GUJARAT TITANS
Rajasthan Royals,Mumbai Indians,,,Sawai Mansingh Stadium,MUMBAI INDIANS
Chennai Super Kings,Punjab Kings,,,MA Chidambaram Stadium,PUNJAB KINGS
Delhi Capitals,Kolkata Knight Riders,,,Arun Jaitley Stadium,KOLKATA KNIGHT RIDERS
Rajasthan Royals,Gujarat Titans,,,Sawai Mansingh Stadium,RAJASTHAN ROYALS
Delhi Capitals,Royal Challengers Bengaluru,,,Arun Jaitley Stadium,ROYAL CHALLENGERS BENGALURU
Mumbai Indians,Lucknow Super Giants,,,Wankhede Stadium,MUMBAI INDIANS
Kolkata Knight Riders,Punjab Kings,,,Eden Gardens,MUMBAI INDIANS
Chennai Super Kings,Sunrisers Hyderabad,,,MA Chidambaram Stadium,SUNRISERS HYDERABAD
Royal Challengers Bengaluru,Rajasthan Royals,,,M Chinnaswamy Stadium,ROYAL CHALLENGERS BENGALURU
Sunrisers Hyderabad,Mumbai Indians,,,Rajiv Gandhi International Stadium,MUMBAI INDIANS
Lucknow Super Giants,Delhi Capitals,,,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,DELHI CAPITALS
Kolkata Knight Riders,Gujarat Titans,,,Eden Gardens,GUJARAT TITANS
Mumbai Indians,Chennai Super Kings,,,Wankhede Stadium,MUMBAI INDIANS
Punjab Kings,Royal Challengers Bengaluru,,,New PCA Stadium,ROYAL CHALLENGERS BENGALURU
Rajasthan Royals,Lucknow Super Giants,,,Sawai Mansingh Stadium,LUCKNOW SUPER GIANTS
Gujarat Titans,Delhi Capitals,,,Narendra Modi Stadium,GUJARAT TITANS
Royal Challengers Bengaluru,Punjab Kings,,,M Chinnaswamy Stadium,PUNJAB KINGS
Mumbai Indians,Sunrisers Hyderabad,,,Wankhede Stadium,MUMBAI INDIANS
Delhi Capitals,Rajasthan Royals,,,Arun Jaitley Stadium,DELHI CAPITALS
Punjab Kings,Kolkata Knight Riders,,,New PCA Stadium,PUNJAB KINGS
Lucknow Super Giants,Chennai Super Kings,,,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,CHENNAI SUPER KINGS
Delhi Capitals,Mumbai Indians,,,Arun Jaitley Stadium,MUMBAI INDIANS
Rajasthan Royals,Royal Challengers Bengaluru,,,Sawai Mansingh Stadium,ROYAL CHALLENGERS BENGALURU
Sunrisers Hyderabad,Punjab Kings,,,Rajiv Gandhi International Stadium,SUNRISERS HYDERABAD
Lucknow Super Giants,Gujarat Titans,,,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,LUCKNOW SUPER GIANTS
Chennai Super Kings,Kolkata Knight Riders,,,MA Chidambaram Stadium,KOLKATA KNIGHT RIDERS
Royal Challengers Bengaluru,Delhi Capitals,,,M Chinnaswamy Stadium,DELHI CAPITALS
Gujarat Titans,Rajasthan Royals,,,Narendra Modi Stadium,GUJARAT TITANS
Punjab Kings,Chennai Super Kings,,,New PCA Stadium,PUNJAB KINGS
Kolkata Knight Riders,Lucknow Super Giants,,,Eden Gardens,LUCKNOW SUPER GIANTS
Mumbai Indians,Royal Challengers Bengaluru,,,Wankhede Stadium,ROYAL CHALLENGERS BENGALURU
Sunrisers Hyderabad,Gujarat Titans,,,Rajiv Gandhi International Stadium,GUJARAT TITANS
Punjab Kings,Rajasthan Royals,,,New PCA Stadium,RAJASTHAN ROYALS
Chennai Super Kings,Delhi Capitals,,,MA Chidambaram Stadium,DELHI CAPITALS
Lucknow Super Giants,Mumbai Indians,,,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,LUCKNOW SUPER GIANTS
Kolkata Knight Riders,Sunrisers Hyderabad,,,Eden Gardens,KOLKATA KNIGHT RIDERS
Royal Challengers Bengaluru,Gujarat Titans,,,M Chinnaswamy Stadium,GUJARAT TITANS
Lucknow Super Giants,Punjab Kings,,,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,PUNJAB KINGS
Mumbai Indians,Kolkata Knight Riders,,,Wankhede Stadium,MUMBAI INDIANS
Rajasthan Royals,Chennai Super Kings,,,ACA Stadium,RAJASTHAN ROYALS
Delhi Capitals,Sunrisers Hyderabad,,,Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium,DELHI CAPITALS
Gujarat Titans,Mumbai Indians,,,Narendra Modi Stadium,GUJARAT TITANS
Chennai Super Kings,Royal Challengers Bengaluru,,,MA Chidambaram Stadium,ROYAL CHALLENGERS BENGALURU
Sunrisers Hyderabad,Lucknow Super Giants,,,Rajiv Gandhi International Stadium,LUCKNOW SUPER GIANTS
Rajasthan Royals,Kolkata Knight Riders,,,ACA Stadium,KOLKATA KNIGHT RIDERS
Gujarat Titans,Punjab Kings,,,Narendra Modi Stadium,PUNJAB KINGS
Delhi Capitals,Lucknow Super Giants,,,Dr YS Rajasekhara Reddy ACA-VDCA Cricket Stadium,DELHI CAPITALS
Chennai Super Kings,Mumbai Indians,,,MA Chidambaram Stadium,CHENNAI SUPER KINGS
Sunrisers Hyderabad,Rajasthan Royals,,,Rajiv Gandhi International Stadium,SUNRISERS HYDERABAD
Kolkata Knight Riders,Royal Challengers Bengaluru,,,Eden Gardens,ROYAL CHALLENGERS BENGALURU
